Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sun Apr 1 2018,6:00 pm,Orlando Magic,88,Atlanta Hawks,94,Box Score,,13587,
Sun Apr 1 2018,6:00 pm,Detroit Pistons,108,Brooklyn Nets,96,Box Score,,16097,
Sun Apr 1 2018,3:30 pm,Washington Wizards,94,Chicago Bulls,113,Box Score,,20466,
Sun Apr 1 2018,1:00 pm,Philadelphia 76ers,119,Charlotte Hornets,102,Box Score,,17005,
Sun Apr 1 2018,6:00 pm,Dallas Mavericks,87,Cleveland Cavaliers,98,Box Score,,20562,
Sun Apr 1 2018,8:00 pm,Milwaukee Bucks,125,Denver Nuggets,128,Box Score,OT,19520,
Sun Apr 1 2018,8:30 pm,Phoenix Suns,107,Golden State Warriors,117,Box Score,,19596,
Sun Apr 1 2018,3:30 pm,Indiana Pacers,111,Los Angeles Clippers,104,Box Score,,15866,
Sun Apr 1 2018,9:30 pm,Sacramento Kings,84,Los Angeles Lakers,83,Box Score,,18997,
Sun Apr 1 2018,7:00 pm,Utah Jazz,121,Minnesota Timberwolves,97,Box Score,,18978,
Sun Apr 1 2018,6:00 pm,Oklahoma City Thunder,109,New Orleans Pelicans,104,Box Score,,18500,
Sun Apr 1 2018,9:00 pm,Memphis Grizzlies,98,Portland Trail Blazers,113,Box Score,,19545,
Sun Apr 1 2018,3:30 pm,Houston Rockets,83,San Antonio Spurs,100,Box Score,,18418,
Tue Apr 3 2018,8:00 pm,Charlotte Hornets,114,Chicago Bulls,120,Box Score,,20139,
Tue Apr 3 2018,7:00 pm,Toronto Raptors,106,Cleveland Cavaliers,112,Box Score,,20562,
Tue Apr 3 2018,8:30 pm,Portland Trail Blazers,109,Dallas Mavericks,115,Box Score,,19624,
Tue Apr 3 2018,9:00 pm,Indiana Pacers,104,Denver Nuggets,107,Box Score,,14743,
Tue Apr 3 2018,8:00 pm,Washington Wizards,104,Houston Rockets,120,Box Score,,18055,
Tue Apr 3 2018,10:30 pm,San Antonio Spurs,110,Los Angeles Clippers,113,Box Score,,17449,
Tue Apr 3 2018,7:30 pm,Atlanta Hawks,98,Miami Heat,101,Box Score,,19600,
Tue Apr 3 2018,8:00 pm,Boston Celtics,102,Milwaukee Bucks,106,Box Score,,16188,
Tue Apr 3 2018,7:30 pm,Orlando Magic,97,New York Knicks,73,Box Score,,19812,
Tue Apr 3 2018,8:00 pm,Golden State Warriors,111,Oklahoma City Thunder,107,Box Score,,18203,
Tue Apr 3 2018,7:00 pm,Brooklyn Nets,95,Philadelphia 76ers,121,Box Score,,20710,
Tue Apr 3 2018,10:00 pm,Sacramento Kings,94,Phoenix Suns,97,Box Score,,16826,
Tue Apr 3 2018,9:00 pm,Los Angeles Lakers,110,Utah Jazz,117,Box Score,,18306,
Wed Apr 4 2018,7:30 pm,Miami Heat,115,Atlanta Hawks,86,Box Score,,16696,
Wed Apr 4 2018,7:00 pm,Philadelphia 76ers,115,Detroit Pistons,108,Box Score,,18395,
Wed Apr 4 2018,10:30 pm,San Antonio Spurs,112,Los Angeles Lakers,122,Box Score,OT,18997,
Wed Apr 4 2018,8:00 pm,Memphis Grizzlies,95,New Orleans Pelicans,123,Box Score,,16521,
Wed Apr 4 2018,7:00 pm,Dallas Mavericks,100,Orlando Magic,105,Box Score,,18112,
Wed Apr 4 2018,8:00 pm,Boston Celtics,78,Toronto Raptors,96,Box Score,,19963,
Thu Apr 5 2018,8:00 pm,Washington Wizards,115,Cleveland Cavaliers,119,Box Score,,20562,
Thu Apr 5 2018,10:30 pm,Minnesota Timberwolves,96,Denver Nuggets,100,Box Score,,16415,
Thu Apr 5 2018,8:00 pm,Portland Trail Blazers,94,Houston Rockets,96,Box Score,,18055,
Thu Apr 5 2018,7:00 pm,Golden State Warriors,106,Indiana Pacers,126,Box Score,,17923,
Thu Apr 5 2018,8:00 pm,Brooklyn Nets,119,Milwaukee Bucks,111,Box Score,,18378,
Thu Apr 5 2018,9:00 pm,Los Angeles Clippers,95,Utah Jazz,117,Box Score,,18306,
Fri Apr 6 2018,7:30 pm,Chicago Bulls,104,Boston Celtics,111,Box Score,,18624,
Fri Apr 6 2018,7:00 pm,Dallas Mavericks,106,Detroit Pistons,113,Box Score,OT,18768,
Fri Apr 6 2018,10:30 pm,Minnesota Timberwolves,113,Los Angeles Lakers,96,Box Score,,18997,
Fri Apr 6 2018,8:00 pm,Sacramento Kings,94,Memphis Grizzlies,93,Box Score,,16527,
Fri Apr 6 2018,7:30 pm,Miami Heat,98,New York Knicks,122,Box Score,,19569,
Fri Apr 6 2018,7:00 pm,Charlotte Hornets,137,Orlando Magic,100,Box Score,,17018,
Fri Apr 6 2018,7:00 pm,Cleveland Cavaliers,130,Philadelphia 76ers,132,Box Score,,20769,
Fri Apr 6 2018,10:00 pm,New Orleans Pelicans,122,Phoenix Suns,103,Box Score,,18055,
Fri Apr 6 2018,7:30 pm,Indiana Pacers,73,Toronto Raptors,92,Box Score,,19924,
Fri Apr 6 2018,7:00 pm,Atlanta Hawks,103,Washington Wizards,97,Box Score,,19557,
Sat Apr 7 2018,8:00 pm,Brooklyn Nets,124,Chicago Bulls,96,Box Score,,21669,
Sat Apr 7 2018,8:30 pm,New Orleans Pelicans,126,Golden State Warriors,120,Box Score,,19596,
Sat Apr 7 2018,8:30 pm,Oklahoma City Thunder,108,Houston Rockets,102,Box Score,,18055,
Sat Apr 7 2018,3:30 pm,Denver Nuggets,134,Los Angeles Clippers,115,Box Score,,16166,
Sat Apr 7 2018,7:30 pm,Milwaukee Bucks,115,New York Knicks,102,Box Score,,19812,
Sat Apr 7 2018,9:00 pm,Portland Trail Blazers,105,San Antonio Spurs,116,Box Score,,18610,
Sun Apr 8 2018,1:00 pm,Atlanta Hawks,112,Boston Celtics,106,Box Score,,18624,
Sun Apr 8 2018,1:00 pm,Indiana Pacers,123,Charlotte Hornets,117,Box Score,,16629,
Sun Apr 8 2018,6:00 pm,Utah Jazz,112,Los Angeles Lakers,97,Box Score,,18997,
Sun Apr 8 2018,3:30 pm,Detroit Pistons,117,Memphis Grizzlies,130,Box Score,,16044,
Sun Apr 8 2018,1:00 pm,Dallas Mavericks,97,Philadelphia 76ers,109,Box Score,,20846,
Sun Apr 8 2018,9:00 pm,Golden State Warriors,117,Phoenix Suns,100,Box Score,,18055,
Sun Apr 8 2018,6:00 pm,Orlando Magic,101,Toronto Raptors,112,Box Score,,19948,
Mon Apr 9 2018,7:30 pm,Chicago Bulls,105,Brooklyn Nets,114,Box Score,,16187,
Mon Apr 9 2018,9:00 pm,Portland Trail Blazers,82,Denver Nuggets,88,Box Score,,17467,
Mon Apr 9 2018,7:00 pm,Toronto Raptors,108,Detroit Pistons,98,Box Score,,17529,
Mon Apr 9 2018,10:30 pm,New Orleans Pelicans,113,Los Angeles Clippers,100,Box Score,,15742,
Mon Apr 9 2018,7:30 pm,Oklahoma City Thunder,115,Miami Heat,93,Box Score,,19600,
Mon Apr 9 2018,8:00 pm,Orlando Magic,86,Milwaukee Bucks,102,Box Score,,18717,
Mon Apr 9 2018,8:00 pm,Memphis Grizzlies,94,Minnesota Timberwolves,113,Box Score,,17641,
Mon Apr 9 2018,7:30 pm,Cleveland Cavaliers,123,New York Knicks,109,Box Score,,19449,
Mon Apr 9 2018,8:30 pm,Sacramento Kings,85,San Antonio Spurs,98,Box Score,,18418,
Tue Apr 10 2018,7:30 pm,Philadelphia 76ers,121,Atlanta Hawks,113,Box Score,,15673,
Tue Apr 10 2018,8:30 pm,Phoenix Suns,124,Dallas Mavericks,97,Box Score,,20041,
Tue Apr 10 2018,7:00 pm,Charlotte Hornets,119,Indiana Pacers,93,Box Score,,17331,
Tue Apr 10 2018,10:30 pm,Houston Rockets,105,Los Angeles Lakers,99,Box Score,,18997,
Tue Apr 10 2018,9:00 pm,Golden State Warriors,79,Utah Jazz,119,Box Score,,18306,
Tue Apr 10 2018,8:00 pm,Boston Celtics,101,Washington Wizards,113,Box Score,,18887,
Wed Apr 11 2018,8:00 pm,Brooklyn Nets,97,Boston Celtics,110,Box Score,,18624,
Wed Apr 11 2018,8:00 pm,Detroit Pistons,119,Chicago Bulls,87,Box Score,,21342,
Wed Apr 11 2018,8:00 pm,New York Knicks,110,Cleveland Cavaliers,98,Box Score,,20562,
Wed Apr 11 2018,10:30 pm,Los Angeles Lakers,115,Los Angeles Clippers,100,Box Score,,19068,
Wed Apr 11 2018,8:00 pm,Toronto Raptors,109,Miami Heat,116,Box Score,OT,19600,
Wed Apr 11 2018,8:00 pm,Denver Nuggets,106,Minnesota Timberwolves,112,Box Score,OT,18978,
Wed Apr 11 2018,8:00 pm,San Antonio Spurs,98,New Orleans Pelicans,122,Box Score,,18573,
Wed Apr 11 2018,8:00 pm,Memphis Grizzlies,123,Oklahoma City Thunder,137,Box Score,,18203,
Wed Apr 11 2018,8:00 pm,Washington Wizards,92,Orlando Magic,101,Box Score,,17598,
Wed Apr 11 2018,8:00 pm,Milwaukee Bucks,95,Philadelphia 76ers,130,Box Score,,20659,
Wed Apr 11 2018,10:30 pm,Utah Jazz,93,Portland Trail Blazers,102,Box Score,,20186,
Wed Apr 11 2018,10:30 pm,Houston Rockets,83,Sacramento Kings,96,Box Score,,17583,
Sat Apr 14 2018,3:00 pm,San Antonio Spurs,92,Golden State Warriors,113,Box Score,,19596,
Sat Apr 14 2018,8:00 pm,Miami Heat,103,Philadelphia 76ers,130,Box Score,,20617,
Sat Apr 14 2018,10:30 pm,New Orleans Pelicans,97,Portland Trail Blazers,95,Box Score,,19882,
Sat Apr 14 2018,5:30 pm,Washington Wizards,106,Toronto Raptors,114,Box Score,,19937,
Sun Apr 15 2018,1:00 pm,Milwaukee Bucks,107,Boston Celtics,113,Box Score,OT,18624,
Sun Apr 15 2018,3:30 pm,Indiana Pacers,98,Cleveland Cavaliers,80,Box Score,,20562,
Sun Apr 15 2018,9:00 pm,Minnesota Timberwolves,101,Houston Rockets,104,Box Score,,18055,
Sun Apr 15 2018,6:30 pm,Utah Jazz,108,Oklahoma City Thunder,116,Box Score,,18203,
Mon Apr 16 2018,10:30 pm,San Antonio Spurs,101,Golden State Warriors,116,Box Score,,19596,
Mon Apr 16 2018,8:00 pm,Miami Heat,113,Philadelphia 76ers,103,Box Score,,20753,
Tue Apr 17 2018,8:00 pm,Milwaukee Bucks,106,Boston Celtics,120,Box Score,,18624,
Tue Apr 17 2018,10:30 pm,New Orleans Pelicans,111,Portland Trail Blazers,102,Box Score,,20066,
Tue Apr 17 2018,7:00 pm,Washington Wizards,119,Toronto Raptors,130,Box Score,,20242,
Wed Apr 18 2018,7:00 pm,Indiana Pacers,97,Cleveland Cavaliers,100,Box Score,,20562,
Wed Apr 18 2018,9:30 pm,Minnesota Timberwolves,82,Houston Rockets,102,Box Score,,18055,
Wed Apr 18 2018,8:00 pm,Utah Jazz,102,Oklahoma City Thunder,95,Box Score,,18203,
Thu Apr 19 2018,7:00 pm,Philadelphia 76ers,128,Miami Heat,108,Box Score,,19812,
Thu Apr 19 2018,9:00 pm,Portland Trail Blazers,102,New Orleans Pelicans,119,Box Score,,18551,
Thu Apr 19 2018,9:30 pm,Golden State Warriors,110,San Antonio Spurs,97,Box Score,,18418,
