Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Feb 1 2018,10:30 pm,Oklahoma City Thunder,124,Denver Nuggets,127,Box Score,,18407,
Thu Feb 1 2018,7:00 pm,Memphis Grizzlies,102,Detroit Pistons,104,Box Score,,17481,
Thu Feb 1 2018,8:00 pm,Milwaukee Bucks,89,Minnesota Timberwolves,108,Box Score,,17199,
Thu Feb 1 2018,8:00 pm,Houston Rockets,102,San Antonio Spurs,91,Box Score,,18418,
Thu Feb 1 2018,7:00 pm,Toronto Raptors,119,Washington Wizards,122,Box Score,,15599,
Fri Feb 2 2018,7:30 pm,Atlanta Hawks,110,Boston Celtics,119,Box Score,,18624,
Fri Feb 2 2018,7:30 pm,Los Angeles Lakers,102,Brooklyn Nets,99,Box Score,,17732,
Fri Feb 2 2018,7:00 pm,Indiana Pacers,126,Charlotte Hornets,133,Box Score,,17135,
Fri Feb 2 2018,8:00 pm,New York Knicks,90,Milwaukee Bucks,92,Box Score,,18717,
Fri Feb 2 2018,9:00 pm,New Orleans Pelicans,114,Oklahoma City Thunder,100,Box Score,,18203,
Fri Feb 2 2018,8:00 pm,Miami Heat,97,Philadelphia 76ers,103,Box Score,,20636,
Fri Feb 2 2018,9:00 pm,Utah Jazz,129,Phoenix Suns,97,Box Score,,16560,
Fri Feb 2 2018,10:30 pm,Golden State Warriors,119,Sacramento Kings,104,Box Score,,17583,
Fri Feb 2 2018,7:30 pm,Portland Trail Blazers,105,Toronto Raptors,130,Box Score,,19800,
Sat Feb 3 2018,8:30 pm,Houston Rockets,120,Cleveland Cavaliers,88,Box Score,,20562,
Sat Feb 3 2018,9:00 pm,Golden State Warriors,108,Denver Nuggets,115,Box Score,,20103,
Sat Feb 3 2018,7:00 pm,Miami Heat,107,Detroit Pistons,111,Box Score,,18747,
Sat Feb 3 2018,7:00 pm,Philadelphia 76ers,92,Indiana Pacers,100,Box Score,,17923,
Sat Feb 3 2018,3:30 pm,Chicago Bulls,103,Los Angeles Clippers,113,Box Score,,19068,
Sat Feb 3 2018,9:00 pm,New Orleans Pelicans,107,Minnesota Timberwolves,118,Box Score,,17954,
Sat Feb 3 2018,7:00 pm,Washington Wizards,115,Orlando Magic,98,Box Score,,18846,
Sat Feb 3 2018,10:00 pm,Dallas Mavericks,106,Sacramento Kings,99,Box Score,,17583,
Sat Feb 3 2018,9:00 pm,Utah Jazz,120,San Antonio Spurs,111,Box Score,,18418,
Sun Feb 4 2018,12:00 pm,Portland Trail Blazers,96,Boston Celtics,97,Box Score,,18624,
Sun Feb 4 2018,12:00 pm,Milwaukee Bucks,109,Brooklyn Nets,94,Box Score,,14392,
Sun Feb 4 2018,12:00 pm,Atlanta Hawks,99,New York Knicks,96,Box Score,,19441,
Sun Feb 4 2018,2:00 pm,Los Angeles Lakers,108,Oklahoma City Thunder,104,Box Score,,18203,
Sun Feb 4 2018,3:00 pm,Charlotte Hornets,115,Phoenix Suns,110,Box Score,,14487,
Sun Feb 4 2018,12:00 pm,Memphis Grizzlies,86,Toronto Raptors,101,Box Score,,19800,
Mon Feb 5 2018,9:00 pm,Charlotte Hornets,104,Denver Nuggets,121,Box Score,,14410,
Mon Feb 5 2018,7:00 pm,Portland Trail Blazers,91,Detroit Pistons,111,Box Score,,13810,
Mon Feb 5 2018,7:00 pm,Washington Wizards,111,Indiana Pacers,102,Box Score,,13169,
Mon Feb 5 2018,10:30 pm,Dallas Mavericks,101,Los Angeles Clippers,104,Box Score,,15127,
Mon Feb 5 2018,7:30 pm,Orlando Magic,111,Miami Heat,109,Box Score,,19600,
Mon Feb 5 2018,8:00 pm,Utah Jazz,133,New Orleans Pelicans,109,Box Score,,14293,
Mon Feb 5 2018,10:00 pm,Chicago Bulls,98,Sacramento Kings,104,Box Score,,17583,
