,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,OT,Attend.,game_type,game_name
1266,2016-10-25,10:00 pm,Utah Jazz,104,Portland Trail Blazers,113,0,19446,regular_season,Utah Jazz at Portland Trail Blazers
1264,2016-10-25,7:30 pm,New York Knicks,88,Cleveland Cavaliers,117,0,20562,regular_season,New York Knicks at Cleveland Cavaliers
1265,2016-10-25,10:30 pm,San Antonio Spurs,129,Golden State Warriors,100,0,19596,regular_season,San Antonio Spurs at Golden State Warriors
1276,2016-10-26,7:30 pm,Detroit Pistons,91,Toronto Raptors,109,0,19800,regular_season,Detroit Pistons at Toronto Raptors
1267,2016-10-26,7:30 pm,Brooklyn Nets,117,Boston Celtics,122,0,18624,regular_season,Brooklyn Nets at Boston Celtics
1274,2016-10-26,8:00 pm,Oklahoma City Thunder,103,Philadelphia 76ers,97,0,20487,regular_season,Oklahoma City Thunder at Philadelphia 76ers
1273,2016-10-26,7:00 pm,Miami Heat,108,Orlando Magic,96,0,19298,regular_season,Miami Heat at Orlando Magic
1275,2016-10-26,10:00 pm,Sacramento Kings,113,Phoenix Suns,94,0,18055,regular_season,Sacramento Kings at Phoenix Suns
1271,2016-10-26,8:00 pm,Charlotte Hornets,107,Milwaukee Bucks,96,0,18717,regular_season,Charlotte Hornets at Milwaukee Bucks
1270,2016-10-26,8:00 pm,Minnesota Timberwolves,98,Memphis Grizzlies,102,0,18119,regular_season,Minnesota Timberwolves at Memphis Grizzlies
1269,2016-10-26,10:30 pm,Houston Rockets,114,Los Angeles Lakers,120,0,18997,regular_season,Houston Rockets at Los Angeles Lakers
1268,2016-10-26,7:00 pm,Dallas Mavericks,121,Indiana Pacers,130,1,17923,regular_season,Dallas Mavericks at Indiana Pacers
1272,2016-10-26,8:00 pm,Denver Nuggets,107,New Orleans Pelicans,102,0,15869,regular_season,Denver Nuggets at New Orleans Pelicans
1277,2016-10-27,7:30 pm,Washington Wizards,99,Atlanta Hawks,114,0,19049,regular_season,Washington Wizards at Atlanta Hawks
