team;division;conference
New York Knicks;Atlantic Division;Eastern Conference
Brooklyn Nets;Atlantic Division;Eastern Conference
Boston Celtics;Atlantic Division;Eastern Conference
Philadelphia 76ers;Atlantic Division;Eastern Conference
Washington Wizards;Southeast Division;Eastern Conference
Charlotte Hornets;Southeast Division;Eastern Conference
Atlanta Hawks;Southeast Division;Eastern Conference
Orlando Magic;Southeast Division;Eastern Conference
Miami Heat;Southeast Division;Eastern Conference
Toronto Raptors;Atlantic Division;Eastern Conference
Cleveland Cavaliers;Central Division;Eastern Conference
Detroit Pistons;Central Division;Eastern Conference
Indiana Pacers;Central Division;Eastern Conference
Chicago Bulls;Central Division;Eastern Conference
Portland Trail Blazers;Northwest Division;Western Conference
Gold State Warriors;Pacific Division;Western Conference
Minnesota Timberwolves;Northwest Division;Western Conference
Dallas Mavericks;Southwest Division;Western Conference
Denver Nuggets;Northwest Division;Western Conference
Los Angeles Lakers;Pacific Division;Western Conference
Los Angeles Clippers;Pacific Division;Western Conference
Phoenix Suns;Pacific Division;Western Conference
San Antonio Spurs;Southwest Division;Western Conference
Utah Jazz;Northwest Division;Western Conference
Oklahoma City Thunder;Northwest Division;Western Conference
Memphis Grizzlies;Southwest Division;Western Conference
Houston Rockets;Southwest Division;Western Conference
Sacrmento Kings;Pacific Division;Western Conference
Milwaukee Bucks;Central Division;Eastern Conference
New Oreans Pelicans;Southwest Division;Western Conference
